Año,Mes,Nacionalidad,Femenino,Masculino,Indefinido,Total,Nueva columna georreferenciada
2012,Enero,Islas Alboran y Perejil,1,0,,1,POINT (4697157 -74140516)
2012,Enero,Albania,1,2,,3,POINT (4697157 -74140516)
2012,Enero,Alemania,11,16,,27,POINT (-4191162 -69941498)
2012,Enero,Alemania,1,1,,2,POINT (0.33002 -76876446)
2012,Enero,Alemania,63,102,,165,POINT (0.81488 -77356)
2012,Enero,Alemania,22,23,,45,POINT (10406342 -75527794)
2012,Enero,Alemania,27,48,,75,POINT (10446304 -75516486)
2012,Enero,Alemania,7,4,,11,POINT (10886686 -74776479)
2012,Enero,Alemania,1,1,,2,POINT (11247723 -74213989)
2012,Enero,Alemania,8,21,,29,POINT (11360029 -72129595)
2012,Enero,Alemania,6,7,,13,POINT (125862 -81702165)
2012,Enero,Alemania,1,1,,2,POINT (133387613 -81372937)
2012,Enero,Alemania,25,49,,74,POINT (3451668 -76532004)
2012,Enero,Alemania,0,1,,1,POINT (3884426 -77061029)
2012,Enero,Alemania,1182,2025,,3207,POINT (4697157 -74140516)
2012,Enero,Alemania,30,97,,127,POINT (6170465 -7542726)
2012,Enero,Alemania,1,0,,1,POINT (6185536 -67484028)
2012,Enero,Alemania,0,2,,2,POINT (7128047 -73181317)
2012,Enero,Alemania,3,15,,18,POINT (7819 -72453013)
2012,Enero,Alemania,0,1,,1,POINT (7927233 -72508188)
2012,Enero,Alemania,8,25,,33,POINT (863337 -7735002)
2012,Enero,Andorra,6,11,,17,POINT (4697157 -74140516)
2012,Enero,Angola,1,1,,2,POINT (4697157 -74140516)
2012,Enero,Antigua y Barbuda,1,1,,2,POINT (10446304 -75516486)
2012,Enero,Países Bajos,1,2,,3,POINT (6170465 -7542726)
2012,Enero,Argelia,3,2,,5,POINT (4697157 -74140516)
2012,Enero,Argelia,0,2,,2,POINT (6170465 -7542726)
2012,Enero,Argentina,6,15,,21,POINT (-4191162 -69941498)
2012,Enero,Argentina,0,1,,1,POINT (0.33002 -76876446)
2012,Enero,Argentina,254,355,,609,POINT (0.81488 -77356)
2012,Enero,Argentina,1,0,,1,POINT (1800143 -78802679)
2012,Enero,Argentina,93,68,,161,POINT (10406342 -75527794)
2012,Enero,Argentina,568,412,,980,POINT (10446304 -75516486)
2012,Enero,Argentina,23,35,,58,POINT (10886686 -74776479)
2012,Enero,Argentina,0,1,,1,POINT (11247723 -74213989)
2012,Enero,Argentina,65,70,,135,POINT (11360029 -72129595)
2012,Enero,Argentina,1,1,,2,POINT (1152863 -72919186)
2012,Enero,Argentina,186,128,,314,POINT (125862 -81702165)
2012,Enero,Argentina,48,61,,109,POINT (3451668 -76532004)
2012,Enero,Argentina,4315,4691,,9006,POINT (4697157 -74140516)
2012,Enero,Argentina,4,7,,11,POINT (4815189 -75736374)
2012,Enero,Argentina,94,155,,249,POINT (6170465 -7542726)
2012,Enero,Argentina,0,1,,1,POINT (7088729 -70740253)
2012,Enero,Argentina,0,3,,3,POINT (7128047 -73181317)
2012,Enero,Argentina,25,50,,75,POINT (7819 -72453013)
2012,Enero,Argentina,1,1,,2,POINT (7927233 -72508188)
