Año;Mes;Nacionalidad;Femenino;Masculino;Indefinido;Total;Nueva;columna;georreferenciada
2012;Enero;Venezuela;297;339;;636;POINT;0.81488;-77356
2012;Enero;Venezuela;7;12;;19;POINT;10406342;-75527794
2012;Enero;Venezuela;76;133;;209;POINT;10446304;-75516486
2012;Enero;Venezuela;55;70;;125;POINT;10886686;-74776479
2012;Enero;Venezuela;0;4;;4;POINT;11117206;-74232675
2012;Enero;Venezuela;1265;1721;;2986;POINT;11360029;-72129595
2012;Enero;Venezuela;1;0;;1;POINT;1152863;-72919186
2012;Enero;Venezuela;13;13;;26;POINT;125862;-81702165
2012;Enero;Venezuela;53;58;;111;POINT;3451668;-76532004
2012;Enero;Venezuela;5306;6178;;11484;POINT;4697157;-74140516
2012;Enero;Venezuela;7;24;;31;POINT;4815189;-75736374
2012;Enero;Venezuela;362;421;;783;POINT;6170465;-7542726
2012;Enero;Venezuela;5;3;;8;POINT;6185536;-67484028
2012;Enero;Venezuela;67;81;;148;POINT;7088729;-70740253
2012;Enero;Venezuela;3;1;;4;POINT;7128047;-73181317
2012;Enero;Venezuela;1767;1997;;3764;POINT;7819;-72453013
2012;Enero;Venezuela;431;487;;918;POINT;7927233;-72508188
2012;Enero;Venezuela;1;1;;2;POINT;863337;-7735002
2012;Febrero;Venezuela;0;3;;3;POINT;-4191162;-69941498
2012;Febrero;Venezuela;95;123;;218;POINT;0.81488;-77356
2012;Febrero;Venezuela;9;15;;24;POINT;10406342;-75527794
2012;Febrero;Venezuela;81;113;;194;POINT;10446304;-75516486
2012;Febrero;Venezuela;82;116;;198;POINT;10886686;-74776479
2012;Febrero;Venezuela;0;1;;1;POINT;10970933;-74765343
2012;Febrero;Venezuela;0;4;;4;POINT;11117206;-74232675
2012;Febrero;Venezuela;0;3;;3;POINT;11247723;-74213989
2012;Febrero;Venezuela;1852;2.26;;4112;POINT;11360029;-72129595
2012;Febrero;Venezuela;3;2;;5;POINT;1152863;-72919186
2012;Febrero;Venezuela;9;13;;22;POINT;125862;-81702165
2012;Febrero;Venezuela;49;60;;109;POINT;3451668;-76532004
2012;Febrero;Venezuela;0;2;;2;POINT;445285;-75766353
2012;Febrero;Venezuela;4326;5705;;10031;POINT;4697157;-74140516
2012;Febrero;Venezuela;2;15;;17;POINT;4815189;-75736374
2012;Febrero;Venezuela;294;336;;630;POINT;6170465;-7542726
2012;Febrero;Venezuela;4;6;;10;POINT;6185536;-67484028
2012;Febrero;Venezuela;27;45;;72;POINT;7088729;-70740253
2012;Febrero;Venezuela;6;10;;16;POINT;7128047;-73181317
2012;Febrero;Venezuela;1318;1.52;;2838;POINT;7819;-72453013
2012;Febrero;Venezuela;325;382;;707;POINT;7927233;-72508188
2012;Febrero;Venezuela;7;4;;11;POINT;863337;-7735002
2012;Marzo;Venezuela;48;89;;137;POINT;0.81488;-77356
2012;Marzo;Venezuela;17;9;;26;POINT;10406342;-75527794
2012;Marzo;Venezuela;64;123;;187;POINT;10446304;-75516486
2012;Marzo;Venezuela;116;137;;253;POINT;10886686;-74776479
2012;Marzo;Venezuela;0;4;;4;POINT;11117206;-74232675
2012;Marzo;Venezuela;1251;1.72;;2971;POINT;11360029;-72129595
2012;Marzo;Venezuela;2;1;;3;POINT;1152863;-72919186
2012;Marzo;Venezuela;0;1;;1;POINT;125744111;-81703935
2012;Marzo;Venezuela;8;7;;15;POINT;125862;-81702165
2012;Marzo;Venezuela;35;51;;86;POINT;3451668;-76532004
2012;Marzo;Venezuela;1;2;;3;POINT;445285;-75766353
2012;Marzo;Venezuela;4184;5545;;9729;POINT;4697157;-74140516
2012;Marzo;Venezuela;2;21;;23;POINT;4815189;-75736374
2012;Marzo;Venezuela;321;396;;717;POINT;6170465;-7542726
2012;Marzo;Venezuela;13;14;;27;POINT;6185536;-67484028
2012;Marzo;Venezuela;41;82;;123;POINT;7088729;-70740253
2012;Marzo;Venezuela;8;17;;25;POINT;7128047;-73181317
2012;Marzo;Venezuela;1299;1506;;2805;POINT;7819;-72453013
2012;Marzo;Venezuela;256;300;;556;POINT;7927233;-72508188
2012;Marzo;Venezuela;0;1;;1;POINT;863337;-7735002
2012;Abril;Venezuela;50;94;;144;POINT;0.81488;-77356
2012;Abril;Venezuela;0;1;;1;POINT;1800143;-78802679
2012;Abril;Venezuela;7;20;;27;POINT;10406342;-75527794
2012;Abril;Venezuela;0;14;;14;POINT;10433609;-73247863
2012;Abril;Venezuela;112;222;;334;POINT;10446304;-75516486
2012;Abril;Venezuela;35;53;;88;POINT;10886686;-74776479
2012;Abril;Venezuela;1;2;;3;POINT;11117206;-74232675
2012;Abril;Venezuela;0;3;;3;POINT;11247723;-74213989
2012;Abril;Venezuela;2051;2483;;4534;POINT;11360029;-72129595
2012;Abril;Venezuela;7;6;;13;POINT;1152863;-72919186
2012;Abril;Venezuela;8;8;;16;POINT;125862;-81702165
2012;Abril;Venezuela;51;58;;109;POINT;3451668;-76532004
2012;Abril;Venezuela;1;1;;2;POINT;445285;-75766353
2012;Abril;Venezuela;5067;5746;;10813;POINT;4697157;-74140516
2012;Abril;Venezuela;1;17;;18;POINT;4815189;-75736374
2012;Abril;Venezuela;243;312;;555;POINT;6170465;-7542726
2012;Abril;Venezuela;28;45;;73;POINT;6185536;-67484028
2012;Abril;Venezuela;47;47;;94;POINT;7088729;-70740253
2012;Abril;Venezuela;5;6;;11;POINT;7128047;-73181317
2012;Abril;Venezuela;1276;1365;;2641;POINT;7819;-72453013
2012;Abril;Venezuela;225;220;;445;POINT;7927233;-72508188
2012;Abril;Venezuela;0;1;;1;POINT;863337;-7735002
2012;Mayo;Venezuela;0;2;;2;POINT;-4191162;-69941498
2012;Mayo;Venezuela;40;60;;100;POINT;0.81488;-77356
2012;Mayo;Venezuela;3;12;;15;POINT;10406342;-75527794
2012;Mayo;Venezuela;88;130;;218;POINT;10446304;-75516486
2012;Mayo;Venezuela;56;92;;148;POINT;10886686;-74776479
2012;Mayo;Venezuela;0;1;;1;POINT;10970933;-74765343
2012;Mayo;Venezuela;0;2;;2;POINT;11247723;-74213989
2012;Mayo;Venezuela;1008;1448;;2456;POINT;11360029;-72129595
2012;Mayo;Venezuela;1;5;;6;POINT;1152863;-72919186
2012;Mayo;Venezuela;11;9;;20;POINT;125862;-81702165
2012;Mayo;Venezuela;52;78;;130;POINT;3451668;-76532004
2012;Mayo;Venezuela;3812;5305;;9117;POINT;4697157;-74140516
2012;Mayo;Venezuela;5;20;;25;POINT;4815189;-75736374
2012;Mayo;Venezuela;320;415;;735;POINT;6170465;-7542726
2012;Mayo;Venezuela;0;4;;4;POINT;6185536;-67484028
2012;Mayo;Venezuela;30;68;;98;POINT;7088729;-70740253
2012;Mayo;Venezuela;13;20;;33;POINT;7128047;-73181317
2012;Mayo;Venezuela;851;1016;;1867;POINT;7819;-72453013
2012;Mayo;Venezuela;175;197;;372;POINT;7927233;-72508188
2012;Mayo;Venezuela;0;1;;1;POINT;863337;-7735002
2012;Junio;Venezuela;32;69;;101;POINT;0.81488;-77356
2012;Junio;Venezuela;0;27;;27;POINT;10406342;-75527794
2012;Junio;Venezuela;80;122;;202;POINT;10446304;-75516486
2012;Junio;Venezuela;40;97;;137;POINT;10886686;-74776479
2012;Junio;Venezuela;0;2;;2;POINT;11247723;-74213989
2012;Junio;Venezuela;1048;1561;;2609;POINT;11360029;-72129595
2012;Junio;Venezuela;3;1;;4;POINT;1152863;-72919186
2012;Junio;Venezuela;11;10;;21;POINT;125862;-81702165
2012;Junio;Venezuela;39;50;;89;POINT;3451668;-76532004
2012;Junio;Venezuela;3.77;4979;;8749;POINT;4697157;-74140516
2012;Junio;Venezuela;3;13;;16;POINT;4815189;-75736374
2012;Junio;Venezuela;292;362;;654;POINT;6170465;-7542726
2012;Junio;Venezuela;7;4;;11;POINT;6185536;-67484028
2012;Junio;Venezuela;59;110;;169;POINT;7088729;-70740253
2012;Junio;Venezuela;7;10;;17;POINT;7128047;-73181317
2012;Junio;Venezuela;1018;1303;;2321;POINT;7819;-72453013
2012;Junio;Venezuela;186;236;;422;POINT;7927233;-72508188
2012;Julio;Venezuela;1;1;;2;POINT;0.33002;-76876446
2012;Julio;Venezuela;47;75;;122;POINT;0.81488;-77356
2012;Julio;Venezuela;0;3;;3;POINT;10406342;-75527794
2012;Julio;Venezuela;88;94;;182;POINT;10446304;-75516486
2012;Julio;Venezuela;29;70;;99;POINT;10886686;-74776479
2012;Julio;Venezuela;0;5;;5;POINT;11117206;-74232675
2012;Julio;Venezuela;1.81;2333;;4143;POINT;11360029;-72129595
2012;Julio;Venezuela;1;2;;3;POINT;1152863;-72919186
2012;Julio;Venezuela;22;24;;46;POINT;125862;-81702165
2012;Julio;Venezuela;37;55;;92;POINT;3451668;-76532004
2012;Julio;Venezuela;0;1;;1;POINT;445285;-75766353
2012;Julio;Venezuela;4918;6202;;11.12;POINT;4697157;-74140516
2012;Julio;Venezuela;5;17;;22;POINT;4815189;-75736374
2012;Julio;Venezuela;478;511;;989;POINT;6170465;-7542726
2012;Julio;Venezuela;7;4;;11;POINT;6185536;-67484028
2012;Julio;Venezuela;30;40;;70;POINT;7088729;-70740253
2012;Julio;Venezuela;5;4;;9;POINT;7128047;-73181317
2012;Julio;Venezuela;1785;1888;;3673;POINT;7819;-72453013
2012;Julio;Venezuela;282;263;;545;POINT;7927233;-72508188
2012;Agosto;Venezuela;0;1;;1;POINT;-4191162;-69941498
2012;Agosto;Venezuela;5;1;;6;POINT;0.33002;-76876446
2012;Agosto;Venezuela;95;126;;221;POINT;0.81488;-77356
2012;Agosto;Venezuela;0;10;;10;POINT;10406342;-75527794
2012;Agosto;Venezuela;462;289;;751;POINT;10446304;-75516486
2012;Agosto;Venezuela;45;68;;113;POINT;10886686;-74776479
