,Año,Mes,Nacionalidad,Femenino,Masculino,Indefinido,Total,long,lat
0,2012,Enero,Islas Alboran y Perejil,1,0,,1,-74.140516,4.697157
1,2012,Enero,Albania,1,2,,3,-74.140516,4.697157
2,2012,Enero,Alemania,11,16,,27,-69.941498,4.191162
3,2012,Enero,Alemania,1,1,,2,-76.876446,0.33002
4,2012,Enero,Alemania,63,102,,165,-77.35600000000001,0.81488
5,2012,Enero,Alemania,22,23,,45,-75.527794,10.406342
6,2012,Enero,Alemania,27,48,,75,-75.516486,10.446304
7,2012,Enero,Alemania,7,4,,11,-74.77647900000001,10.886686
8,2012,Enero,Alemania,1,1,,2,-74.213989,11.247722999999999
9,2012,Enero,Alemania,8,21,,29,-72.129595,11.360028999999999
10,2012,Enero,Alemania,6,7,,13,-81.70216500000001,12.5862
11,2012,Enero,Alemania,1,1,,2,-81.372937,13.338761300000002
12,2012,Enero,Alemania,25,49,,74,-76.532004,3.451668
13,2012,Enero,Alemania,0,1,,1,-77.061029,3.8844260000000004
14,2012,Enero,Alemania,1182,2025,,3207,-74.140516,4.697157
15,2012,Enero,Alemania,30,97,,127,-75.42726,6.170465
16,2012,Enero,Alemania,1,0,,1,-67.48402800000001,6.185536
17,2012,Enero,Alemania,0,2,,2,-73.181317,7.1280470000000005
18,2012,Enero,Alemania,3,15,,18,-72.453013,7.819
19,2012,Enero,Alemania,0,1,,1,-72.508188,7.927233
20,2012,Enero,Alemania,8,25,,33,-77.35002,8.63337
21,2012,Enero,Andorra,6,11,,17,-74.140516,4.697157
22,2012,Enero,Angola,1,1,,2,-74.140516,4.697157
23,2012,Enero,Antigua y Barbuda,1,1,,2,-75.516486,10.446304
24,2012,Enero,Países Bajos,1,2,,3,-75.42726,6.170465
25,2012,Enero,Argelia,3,2,,5,-74.140516,4.697157
26,2012,Enero,Argelia,0,2,,2,-75.42726,6.170465
27,2012,Enero,Argentina,6,15,,21,-69.941498,4.191162
28,2012,Enero,Argentina,0,1,,1,-76.876446,0.33002
29,2012,Enero,Argentina,254,355,,609,-77.35600000000001,0.81488
30,2012,Enero,Argentina,1,0,,1,-78.802679,18.00143
31,2012,Enero,Argentina,93,68,,161,-75.527794,10.406342
32,2012,Enero,Argentina,568,412,,980,-75.516486,10.446304
33,2012,Enero,Argentina,23,35,,58,-74.77647900000001,10.886686
34,2012,Enero,Argentina,0,1,,1,-74.213989,11.247722999999999
35,2012,Enero,Argentina,65,70,,135,-72.129595,11.360028999999999
36,2012,Enero,Argentina,1,1,,2,-72.919186,11.52863
37,2012,Enero,Argentina,186,128,,314,-81.70216500000001,12.5862
38,2012,Enero,Argentina,48,61,,109,-76.532004,3.451668
39,2012,Enero,Argentina,4315,4691,,9006,-74.140516,4.697157
40,2012,Enero,Argentina,4,7,,11,-75.736374,4.815189
41,2012,Enero,Argentina,94,155,,249,-75.42726,6.170465
42,2012,Enero,Argentina,0,1,,1,-70.74025300000001,7.088728999999999
43,2012,Enero,Argentina,0,3,,3,-73.181317,7.1280470000000005
44,2012,Enero,Argentina,25,50,,75,-72.453013,7.819
45,2012,Enero,Argentina,1,1,,2,-72.508188,7.927233
46,2012,Enero,Argentina,12,27,,39,-77.35002,8.63337
47,2012,Enero,Aruba,0,1,,1,-76.532004,3.451668
48,2012,Enero,Aruba,0,1,,1,-74.140516,4.697157
49,2012,Enero,Australia,4,14,,18,-69.941498,4.191162
50,2012,Enero,Australia,29,58,,87,-77.35600000000001,0.81488
51,2012,Enero,Australia,14,30,,44,-75.527794,10.406342
52,2012,Enero,Australia,31,51,,82,-75.516486,10.446304
53,2012,Enero,Australia,3,7,,10,-74.77647900000001,10.886686
54,2012,Enero,Australia,1,2,,3,-74.213989,11.247722999999999
55,2012,Enero,Australia,4,6,,10,-72.129595,11.360028999999999
56,2012,Enero,Australia,0,1,,1,-81.70216500000001,12.5862
57,2012,Enero,Australia,3,1,,4,-81.372937,13.338761300000002
58,2012,Enero,Australia,11,21,,32,-76.532004,3.451668
59,2012,Enero,Australia,0,1,,1,-75.76635300000001,4.45285
60,2012,Enero,Australia,241,400,,641,-74.140516,4.697157
61,2012,Enero,Australia,1,1,,2,-75.736374,4.815189
62,2012,Enero,Australia,30,70,,100,-75.42726,6.170465
63,2012,Enero,Australia,0,1,,1,-67.48402800000001,6.185536
64,2012,Enero,Australia,1,4,,5,-72.453013,7.819
65,2012,Enero,Australia,1,1,,2,-72.508188,7.927233
66,2012,Enero,Australia,5,9,,14,-77.35002,8.63337
67,2012,Enero,Austria,4,6,,10,-69.941498,4.191162
68,2012,Enero,Austria,3,7,,10,-77.35600000000001,0.81488
69,2012,Enero,Austria,4,4,,8,-75.527794,10.406342
70,2012,Enero,Austria,6,4,,10,-75.516486,10.446304
71,2012,Enero,Austria,1,1,,2,-74.77647900000001,10.886686
72,2012,Enero,Austria,0,2,,2,-72.129595,11.360028999999999
73,2012,Enero,Austria,3,7,,10,-76.532004,3.451668
74,2012,Enero,Austria,124,284,,408,-74.140516,4.697157
75,2012,Enero,Austria,6,8,,14,-75.42726,6.170465
76,2012,Enero,Austria,0,1,,1,-77.401154,6.222551999999999
77,2012,Enero,Austria,0,1,,1,-72.453013,7.819
78,2012,Enero,Austria,0,3,,3,-77.35002,8.63337
79,2012,Enero,Azerbaiyán,0,1,,1,-77.35600000000001,0.81488
80,2012,Enero,Azerbaiyán,1,1,,2,-74.140516,4.697157
