,Año,Mes,Nacionalidad,Femenino,Masculino,Indefinido,Total,long,lat
0,2012,Enero,Venezuela,297.0,339.0,,636.0,-77.35600000000001,0.81488
1,2012,Enero,Venezuela,7.0,12.0,,19.0,-75.527794,10.406342
2,2012,Enero,Venezuela,76.0,133.0,,209.0,-75.516486,10.446304
3,2012,Enero,Venezuela,55.0,70.0,,125.0,-74.77647900000001,10.886686
4,2012,Enero,Venezuela,0.0,4.0,,4.0,-74.232675,11.117206
5,2012,Enero,Venezuela,1265.0,1721.0,,2986.0,-72.129595,11.360028999999999
6,2012,Enero,Venezuela,1.0,0.0,,1.0,-72.919186,11.52863
7,2012,Enero,Venezuela,13.0,13.0,,26.0,-81.70216500000001,12.5862
8,2012,Enero,Venezuela,53.0,58.0,,111.0,-76.532004,3.451668
9,2012,Enero,Venezuela,5306.0,6178.0,,11484.0,-74.140516,4.697157
10,2012,Enero,Venezuela,7.0,24.0,,31.0,-75.736374,4.815189
11,2012,Enero,Venezuela,362.0,421.0,,783.0,-75.42726,6.170465
12,2012,Enero,Venezuela,5.0,3.0,,8.0,-67.48402800000001,6.185536
13,2012,Enero,Venezuela,67.0,81.0,,148.0,-70.74025300000001,7.088728999999999
14,2012,Enero,Venezuela,3.0,1.0,,4.0,-73.181317,7.1280470000000005
15,2012,Enero,Venezuela,1767.0,1997.0,,3764.0,-72.453013,7.819
16,2012,Enero,Venezuela,431.0,487.0,,918.0,-72.508188,7.927233
17,2012,Enero,Venezuela,1.0,1.0,,2.0,-77.35002,8.63337
18,2012,Febrero,Venezuela,0.0,3.0,,3.0,-69.941498,4.191162
19,2012,Febrero,Venezuela,95.0,123.0,,218.0,-77.35600000000001,0.81488
20,2012,Febrero,Venezuela,9.0,15.0,,24.0,-75.527794,10.406342
21,2012,Febrero,Venezuela,81.0,113.0,,194.0,-75.516486,10.446304
22,2012,Febrero,Venezuela,82.0,116.0,,198.0,-74.77647900000001,10.886686
23,2012,Febrero,Venezuela,0.0,1.0,,1.0,-74.765343,10.970933
24,2012,Febrero,Venezuela,0.0,4.0,,4.0,-74.232675,11.117206
25,2012,Febrero,Venezuela,0.0,3.0,,3.0,-74.213989,11.247722999999999
26,2012,Febrero,Venezuela,1852.0,2.26,,4112.0,-72.129595,11.360028999999999
27,2012,Febrero,Venezuela,3.0,2.0,,5.0,-72.919186,11.52863
28,2012,Febrero,Venezuela,9.0,13.0,,22.0,-81.70216500000001,12.5862
29,2012,Febrero,Venezuela,49.0,60.0,,109.0,-76.532004,3.451668
30,2012,Febrero,Venezuela,0.0,2.0,,2.0,-75.76635300000001,4.45285
31,2012,Febrero,Venezuela,4326.0,5705.0,,10031.0,-74.140516,4.697157
32,2012,Febrero,Venezuela,2.0,15.0,,17.0,-75.736374,4.815189
33,2012,Febrero,Venezuela,294.0,336.0,,630.0,-75.42726,6.170465
34,2012,Febrero,Venezuela,4.0,6.0,,10.0,-67.48402800000001,6.185536
35,2012,Febrero,Venezuela,27.0,45.0,,72.0,-70.74025300000001,7.088728999999999
36,2012,Febrero,Venezuela,6.0,10.0,,16.0,-73.181317,7.1280470000000005
37,2012,Febrero,Venezuela,1318.0,1.52,,2838.0,-72.453013,7.819
38,2012,Febrero,Venezuela,325.0,382.0,,707.0,-72.508188,7.927233
39,2012,Febrero,Venezuela,7.0,4.0,,11.0,-77.35002,8.63337
40,2012,Marzo,Venezuela,48.0,89.0,,137.0,-77.35600000000001,0.81488
41,2012,Marzo,Venezuela,17.0,9.0,,26.0,-75.527794,10.406342
42,2012,Marzo,Venezuela,64.0,123.0,,187.0,-75.516486,10.446304
43,2012,Marzo,Venezuela,116.0,137.0,,253.0,-74.77647900000001,10.886686
44,2012,Marzo,Venezuela,0.0,4.0,,4.0,-74.232675,11.117206
45,2012,Marzo,Venezuela,1251.0,1.72,,2971.0,-72.129595,11.360028999999999
46,2012,Marzo,Venezuela,2.0,1.0,,3.0,-72.919186,11.52863
47,2012,Marzo,Venezuela,0.0,1.0,,1.0,-81.703935,12.574411099999999
48,2012,Marzo,Venezuela,8.0,7.0,,15.0,-81.70216500000001,12.5862
49,2012,Marzo,Venezuela,35.0,51.0,,86.0,-76.532004,3.451668
50,2012,Marzo,Venezuela,1.0,2.0,,3.0,-75.76635300000001,4.45285
51,2012,Marzo,Venezuela,4184.0,5545.0,,9729.0,-74.140516,4.697157
52,2012,Marzo,Venezuela,2.0,21.0,,23.0,-75.736374,4.815189
53,2012,Marzo,Venezuela,321.0,396.0,,717.0,-75.42726,6.170465
54,2012,Marzo,Venezuela,13.0,14.0,,27.0,-67.48402800000001,6.185536
55,2012,Marzo,Venezuela,41.0,82.0,,123.0,-70.74025300000001,7.088728999999999
56,2012,Marzo,Venezuela,8.0,17.0,,25.0,-73.181317,7.1280470000000005
57,2012,Marzo,Venezuela,1299.0,1506.0,,2805.0,-72.453013,7.819
58,2012,Marzo,Venezuela,256.0,300.0,,556.0,-72.508188,7.927233
59,2012,Marzo,Venezuela,0.0,1.0,,1.0,-77.35002,8.63337
60,2012,Abril,Venezuela,50.0,94.0,,144.0,-77.35600000000001,0.81488
61,2012,Abril,Venezuela,0.0,1.0,,1.0,-78.802679,18.00143
62,2012,Abril,Venezuela,7.0,20.0,,27.0,-75.527794,10.406342
63,2012,Abril,Venezuela,0.0,14.0,,14.0,-73.247863,10.433608999999999
64,2012,Abril,Venezuela,112.0,222.0,,334.0,-75.516486,10.446304
65,2012,Abril,Venezuela,35.0,53.0,,88.0,-74.77647900000001,10.886686
66,2012,Abril,Venezuela,1.0,2.0,,3.0,-74.232675,11.117206
67,2012,Abril,Venezuela,0.0,3.0,,3.0,-74.213989,11.247722999999999
68,2012,Abril,Venezuela,2051.0,2483.0,,4534.0,-72.129595,11.360028999999999
69,2012,Abril,Venezuela,7.0,6.0,,13.0,-72.919186,11.52863
70,2012,Abril,Venezuela,8.0,8.0,,16.0,-81.70216500000001,12.5862
71,2012,Abril,Venezuela,51.0,58.0,,109.0,-76.532004,3.451668
72,2012,Abril,Venezuela,1.0,1.0,,2.0,-75.76635300000001,4.45285
73,2012,Abril,Venezuela,5067.0,5746.0,,10813.0,-74.140516,4.697157
74,2012,Abril,Venezuela,1.0,17.0,,18.0,-75.736374,4.815189
75,2012,Abril,Venezuela,243.0,312.0,,555.0,-75.42726,6.170465
76,2012,Abril,Venezuela,28.0,45.0,,73.0,-67.48402800000001,6.185536
77,2012,Abril,Venezuela,47.0,47.0,,94.0,-70.74025300000001,7.088728999999999
78,2012,Abril,Venezuela,5.0,6.0,,11.0,-73.181317,7.1280470000000005
79,2012,Abril,Venezuela,1276.0,1365.0,,2641.0,-72.453013,7.819
80,2012,Abril,Venezuela,225.0,220.0,,445.0,-72.508188,7.927233
81,2012,Abril,Venezuela,0.0,1.0,,1.0,-77.35002,8.63337
82,2012,Mayo,Venezuela,0.0,2.0,,2.0,-69.941498,4.191162
83,2012,Mayo,Venezuela,40.0,60.0,,100.0,-77.35600000000001,0.81488
84,2012,Mayo,Venezuela,3.0,12.0,,15.0,-75.527794,10.406342
85,2012,Mayo,Venezuela,88.0,130.0,,218.0,-75.516486,10.446304
86,2012,Mayo,Venezuela,56.0,92.0,,148.0,-74.77647900000001,10.886686
87,2012,Mayo,Venezuela,0.0,1.0,,1.0,-74.765343,10.970933
88,2012,Mayo,Venezuela,0.0,2.0,,2.0,-74.213989,11.247722999999999
89,2012,Mayo,Venezuela,1008.0,1448.0,,2456.0,-72.129595,11.360028999999999
90,2012,Mayo,Venezuela,1.0,5.0,,6.0,-72.919186,11.52863
91,2012,Mayo,Venezuela,11.0,9.0,,20.0,-81.70216500000001,12.5862
92,2012,Mayo,Venezuela,52.0,78.0,,130.0,-76.532004,3.451668
93,2012,Mayo,Venezuela,3812.0,5305.0,,9117.0,-74.140516,4.697157
94,2012,Mayo,Venezuela,5.0,20.0,,25.0,-75.736374,4.815189
95,2012,Mayo,Venezuela,320.0,415.0,,735.0,-75.42726,6.170465
96,2012,Mayo,Venezuela,0.0,4.0,,4.0,-67.48402800000001,6.185536
97,2012,Mayo,Venezuela,30.0,68.0,,98.0,-70.74025300000001,7.088728999999999
98,2012,Mayo,Venezuela,13.0,20.0,,33.0,-73.181317,7.1280470000000005
99,2012,Mayo,Venezuela,851.0,1016.0,,1867.0,-72.453013,7.819
100,2012,Mayo,Venezuela,175.0,197.0,,372.0,-72.508188,7.927233
101,2012,Mayo,Venezuela,0.0,1.0,,1.0,-77.35002,8.63337
102,2012,Junio,Venezuela,32.0,69.0,,101.0,-77.35600000000001,0.81488
103,2012,Junio,Venezuela,0.0,27.0,,27.0,-75.527794,10.406342
104,2012,Junio,Venezuela,80.0,122.0,,202.0,-75.516486,10.446304
