,Año,Mes,Nacionalidad,Femenino,Masculino,Indefinido,Total,long,lat
907,2012,Enero,Venezuela,297,339,,636,-77.35600000000001,0.81488
908,2012,Enero,Venezuela,7,12,,19,-75.527794,10.406342
909,2012,Enero,Venezuela,76,133,,209,-75.516486,10.446304
910,2012,Enero,Venezuela,55,70,,125,-74.77647900000001,10.886686
911,2012,Enero,Venezuela,0,4,,4,-74.232675,11.117206
912,2012,Enero,Venezuela,1265,1721,,2986,-72.129595,11.360028999999999
913,2012,Enero,Venezuela,1,0,,1,-72.919186,11.52863
914,2012,Enero,Venezuela,13,13,,26,-81.70216500000001,12.5862
915,2012,Enero,Venezuela,53,58,,111,-76.532004,3.451668
916,2012,Enero,Venezuela,5306,6178,,11484,-74.140516,4.697157
917,2012,Enero,Venezuela,7,24,,31,-75.736374,4.815189
918,2012,Enero,Venezuela,362,421,,783,-75.42726,6.170465
919,2012,Enero,Venezuela,5,3,,8,-67.48402800000001,6.185536
920,2012,Enero,Venezuela,67,81,,148,-70.74025300000001,7.088728999999999
921,2012,Enero,Venezuela,3,1,,4,-73.181317,7.1280470000000005
922,2012,Enero,Venezuela,1767,1997,,3764,-72.453013,7.819
923,2012,Enero,Venezuela,431,487,,918,-72.508188,7.927233
924,2012,Enero,Venezuela,1,1,,2,-77.35002,8.63337
1883,2012,Febrero,Venezuela,0,3,,3,-69.941498,4.191162
1884,2012,Febrero,Venezuela,95,123,,218,-77.35600000000001,0.81488
1885,2012,Febrero,Venezuela,9,15,,24,-75.527794,10.406342
1886,2012,Febrero,Venezuela,81,113,,194,-75.516486,10.446304
1887,2012,Febrero,Venezuela,82,116,,198,-74.77647900000001,10.886686
1888,2012,Febrero,Venezuela,0,1,,1,-74.765343,10.970933
1889,2012,Febrero,Venezuela,0,4,,4,-74.232675,11.117206
1890,2012,Febrero,Venezuela,0,3,,3,-74.213989,11.247722999999999
1891,2012,Febrero,Venezuela,1852,2260,,4112,-72.129595,11.360028999999999
1892,2012,Febrero,Venezuela,3,2,,5,-72.919186,11.52863
1893,2012,Febrero,Venezuela,9,13,,22,-81.70216500000001,12.5862
1894,2012,Febrero,Venezuela,49,60,,109,-76.532004,3.451668
1895,2012,Febrero,Venezuela,0,2,,2,-75.76635300000001,4.45285
1896,2012,Febrero,Venezuela,4326,5705,,10031,-74.140516,4.697157
1897,2012,Febrero,Venezuela,2,15,,17,-75.736374,4.815189
1898,2012,Febrero,Venezuela,294,336,,630,-75.42726,6.170465
1899,2012,Febrero,Venezuela,4,6,,10,-67.48402800000001,6.185536
1900,2012,Febrero,Venezuela,27,45,,72,-70.74025300000001,7.088728999999999
1901,2012,Febrero,Venezuela,6,10,,16,-73.181317,7.1280470000000005
1902,2012,Febrero,Venezuela,1318,1520,,2838,-72.453013,7.819
1903,2012,Febrero,Venezuela,325,382,,707,-72.508188,7.927233
1904,2012,Febrero,Venezuela,7,4,,11,-77.35002,8.63337
2890,2012,Marzo,Venezuela,48,89,,137,-77.35600000000001,0.81488
2891,2012,Marzo,Venezuela,17,9,,26,-75.527794,10.406342
2892,2012,Marzo,Venezuela,64,123,,187,-75.516486,10.446304
2893,2012,Marzo,Venezuela,116,137,,253,-74.77647900000001,10.886686
2894,2012,Marzo,Venezuela,0,4,,4,-74.232675,11.117206
2895,2012,Marzo,Venezuela,1251,1720,,2971,-72.129595,11.360028999999999
2896,2012,Marzo,Venezuela,2,1,,3,-72.919186,11.52863
2897,2012,Marzo,Venezuela,0,1,,1,-81.703935,12.574411099999999
2898,2012,Marzo,Venezuela,8,7,,15,-81.70216500000001,12.5862
2899,2012,Marzo,Venezuela,35,51,,86,-76.532004,3.451668
2900,2012,Marzo,Venezuela,1,2,,3,-75.76635300000001,4.45285
2901,2012,Marzo,Venezuela,4184,5545,,9729,-74.140516,4.697157
2902,2012,Marzo,Venezuela,2,21,,23,-75.736374,4.815189
2903,2012,Marzo,Venezuela,321,396,,717,-75.42726,6.170465
